✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 320, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 4,064,347
Starting training for 21973 steps...
Batch 100 | Loss: 283.3786 | BPC: 408.829 | Speed: 90510 tok/s
Batch 200 | Loss: 115.9395 | BPC: 167.265 | Speed: 104211 tok/s
Batch 300 | Loss: 20.1010 | BPC: 29.000 | Speed: 104233 tok/s
Batch 400 | Loss: 5.6924 | BPC: 8.212 | Speed: 105326 tok/s
Batch 500 | Loss: 3.2252 | BPC: 4.653 | Speed: 105316 tok/s
Batch 600 | Loss: 2.6911 | BPC: 3.882 | Speed: 105178 tok/s
Batch 700 | Loss: 2.5363 | BPC: 3.659 | Speed: 104013 tok/s
Batch 800 | Loss: 2.5781 | BPC: 3.719 | Speed: 104389 tok/s
Batch 900 | Loss: 2.4451 | BPC: 3.528 | Speed: 105385 tok/s
Batch 1000 | Loss: 2.4467 | BPC: 3.530 | Speed: 105313 tok/s
Batch 1100 | Loss: 2.4546 | BPC: 3.541 | Speed: 104885 tok/s
Batch 1200 | Loss: 2.4268 | BPC: 3.501 | Speed: 104138 tok/s
Batch 1300 | Loss: 2.4643 | BPC: 3.555 | Speed: 104638 tok/s
Batch 1400 | Loss: 2.3763 | BPC: 3.428 | Speed: 105332 tok/s
Batch 1500 | Loss: 2.3973 | BPC: 3.459 | Speed: 104872 tok/s
Batch 1600 | Loss: 2.3711 | BPC: 3.421 | Speed: 104561 tok/s
Batch 1700 | Loss: 2.4346 | BPC: 3.512 | Speed: 104247 tok/s
Batch 1800 | Loss: 2.3938 | BPC: 3.454 | Speed: 104984 tok/s
Batch 1900 | Loss: 2.4147 | BPC: 3.484 | Speed: 105344 tok/s
Batch 2000 | Loss: 2.4625 | BPC: 3.553 | Speed: 105295 tok/s
Batch 2100 | Loss: 2.4616 | BPC: 3.551 | Speed: 104406 tok/s
Batch 2200 | Loss: 2.4108 | BPC: 3.478 | Speed: 104058 tok/s
Batch 2300 | Loss: 2.4153 | BPC: 3.485 | Speed: 105176 tok/s
Batch 2400 | Loss: 2.3777 | BPC: 3.430 | Speed: 105360 tok/s
Batch 2500 | Loss: 2.3778 | BPC: 3.430 | Speed: 105334 tok/s
Batch 2600 | Loss: 2.3801 | BPC: 3.434 | Speed: 104158 tok/s
Batch 2700 | Loss: 2.3984 | BPC: 3.460 | Speed: 104147 tok/s
Batch 2800 | Loss: 2.3820 | BPC: 3.437 | Speed: 105338 tok/s
Batch 2900 | Loss: 2.4093 | BPC: 3.476 | Speed: 105396 tok/s
Batch 3000 | Loss: 2.4189 | BPC: 3.490 | Speed: 105235 tok/s
Batch 3100 | Loss: 2.3810 | BPC: 3.435 | Speed: 104090 tok/s
Batch 3200 | Loss: 2.3926 | BPC: 3.452 | Speed: 104430 tok/s
Batch 3300 | Loss: 2.3968 | BPC: 3.458 | Speed: 105367 tok/s
Batch 3400 | Loss: 2.3427 | BPC: 3.380 | Speed: 105358 tok/s
Batch 3500 | Loss: 2.4463 | BPC: 3.529 | Speed: 104948 tok/s
Batch 3600 | Loss: 2.3260 | BPC: 3.356 | Speed: 104071 tok/s
Batch 3700 | Loss: 2.4266 | BPC: 3.501 | Speed: 104653 tok/s
Batch 3800 | Loss: 2.3718 | BPC: 3.422 | Speed: 105366 tok/s
Batch 3900 | Loss: 2.3893 | BPC: 3.447 | Speed: 105373 tok/s
Batch 4000 | Loss: 2.4132 | BPC: 3.481 | Speed: 104641 tok/s
Batch 4100 | Loss: 2.4038 | BPC: 3.468 | Speed: 104160 tok/s
Batch 4200 | Loss: 2.3968 | BPC: 3.458 | Speed: 104996 tok/s
Batch 4300 | Loss: 2.3857 | BPC: 3.442 | Speed: 105401 tok/s
Batch 4400 | Loss: 2.3927 | BPC: 3.452 | Speed: 105399 tok/s
Batch 4500 | Loss: 2.4247 | BPC: 3.498 | Speed: 104430 tok/s
Batch 4600 | Loss: 2.3474 | BPC: 3.387 | Speed: 104123 tok/s
Batch 4700 | Loss: 2.4459 | BPC: 3.529 | Speed: 105123 tok/s
Batch 4800 | Loss: 2.3970 | BPC: 3.458 | Speed: 105299 tok/s
Batch 4900 | Loss: 2.4099 | BPC: 3.477 | Speed: 105328 tok/s
Batch 5000 | Loss: 2.3927 | BPC: 3.452 | Speed: 104346 tok/s
Batch 5100 | Loss: 2.4034 | BPC: 3.467 | Speed: 103469 tok/s
Batch 5200 | Loss: 2.3913 | BPC: 3.450 | Speed: 105402 tok/s
Batch 5300 | Loss: 2.3897 | BPC: 3.448 | Speed: 105409 tok/s
Batch 5400 | Loss: 2.3871 | BPC: 3.444 | Speed: 105326 tok/s
Batch 5500 | Loss: 2.3921 | BPC: 3.451 | Speed: 104232 tok/s
Batch 5600 | Loss: 2.3855 | BPC: 3.442 | Speed: 104410 tok/s
Batch 5700 | Loss: 2.4030 | BPC: 3.467 | Speed: 105330 tok/s
Batch 5800 | Loss: 2.3692 | BPC: 3.418 | Speed: 105362 tok/s
Batch 5900 | Loss: 2.3712 | BPC: 3.421 | Speed: 104935 tok/s
Batch 6000 | Loss: 2.4055 | BPC: 3.470 | Speed: 103950 tok/s
Batch 6100 | Loss: 2.4261 | BPC: 3.500 | Speed: 104518 tok/s
Batch 6200 | Loss: 2.3543 | BPC: 3.397 | Speed: 105344 tok/s
Batch 6300 | Loss: 2.4019 | BPC: 3.465 | Speed: 105299 tok/s
Batch 6400 | Loss: 2.4247 | BPC: 3.498 | Speed: 104634 tok/s
Batch 6500 | Loss: 2.3872 | BPC: 3.444 | Speed: 104053 tok/s
Batch 6600 | Loss: 2.3906 | BPC: 3.449 | Speed: 104857 tok/s
Batch 6700 | Loss: 2.3739 | BPC: 3.425 | Speed: 105360 tok/s
Batch 6800 | Loss: 2.3995 | BPC: 3.462 | Speed: 105356 tok/s
Batch 6900 | Loss: 2.3815 | BPC: 3.436 | Speed: 104291 tok/s
Batch 7000 | Loss: 2.4447 | BPC: 3.527 | Speed: 103979 tok/s
Batch 7100 | Loss: 2.4059 | BPC: 3.471 | Speed: 105146 tok/s
Batch 7200 | Loss: 2.3819 | BPC: 3.436 | Speed: 105342 tok/s
Batch 7300 | Loss: 2.3961 | BPC: 3.457 | Speed: 105276 tok/s
Batch 7400 | Loss: 2.3806 | BPC: 3.435 | Speed: 104226 tok/s
Batch 7500 | Loss: 2.3973 | BPC: 3.459 | Speed: 103956 tok/s
Batch 7600 | Loss: 2.3645 | BPC: 3.411 | Speed: 105372 tok/s
Batch 7700 | Loss: 2.4137 | BPC: 3.482 | Speed: 105384 tok/s
Batch 7800 | Loss: 2.3699 | BPC: 3.419 | Speed: 105314 tok/s
Batch 7900 | Loss: 2.4047 | BPC: 3.469 | Speed: 104150 tok/s
Batch 8000 | Loss: 2.4600 | BPC: 3.549 | Speed: 104436 tok/s
Batch 8100 | Loss: 2.3932 | BPC: 3.453 | Speed: 105403 tok/s
Batch 8200 | Loss: 2.3666 | BPC: 3.414 | Speed: 105279 tok/s
Batch 8300 | Loss: 2.3789 | BPC: 3.432 | Speed: 104883 tok/s
Batch 8400 | Loss: 2.3789 | BPC: 3.432 | Speed: 104008 tok/s
Batch 8500 | Loss: 2.3982 | BPC: 3.460 | Speed: 104648 tok/s
Batch 8600 | Loss: 2.4138 | BPC: 3.482 | Speed: 105413 tok/s
Batch 8700 | Loss: 2.3950 | BPC: 3.455 | Speed: 105349 tok/s
Batch 8800 | Loss: 2.3930 | BPC: 3.452 | Speed: 104720 tok/s
Batch 8900 | Loss: 2.3523 | BPC: 3.394 | Speed: 104147 tok/s
Batch 9000 | Loss: 2.4364 | BPC: 3.515 | Speed: 104866 tok/s
Batch 9100 | Loss: 2.4115 | BPC: 3.479 | Speed: 105389 tok/s
Batch 9200 | Loss: 2.4052 | BPC: 3.470 | Speed: 105392 tok/s
Batch 9300 | Loss: 2.4161 | BPC: 3.486 | Speed: 104464 tok/s
Batch 9400 | Loss: 2.4058 | BPC: 3.471 | Speed: 104165 tok/s
Batch 9500 | Loss: 2.3923 | BPC: 3.451 | Speed: 105182 tok/s
Batch 9600 | Loss: 2.3772 | BPC: 3.430 | Speed: 105397 tok/s
Batch 9700 | Loss: 2.4147 | BPC: 3.484 | Speed: 105308 tok/s
