=== LAUNCHING LONG RUN ON cuda ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 256, 'n_layers': 4, 'dropout': 0.1, 'lr': 0.0003, 'batch_size': 8, 'seq_len': 128, 'epochs': 1, 'subset_size': 20000000, 'grad_clip': 0.5, 'save_every': 5000}
Downloading text8...
Using subset: 20,000,000 chars
Train tokens: 19,000,000
Valid tokens: 600,000
INNv2 Parameters: 2,964,763
Total batches: 18554
Batch 100/18554 | Loss: 18.9060 | BPC: 27.276 | Speed: 3057 tok/s
Batch 200/18554 | Loss: 14.2297 | BPC: 20.529 | Speed: 3205 tok/s
Batch 300/18554 | Loss: 10.5752 | BPC: 15.257 | Speed: 3258 tok/s
Batch 400/18554 | Loss: 8.1800 | BPC: 11.801 | Speed: 3285 tok/s
Batch 500/18554 | Loss: 6.6503 | BPC: 9.594 | Speed: 3302 tok/s
Batch 600/18554 | Loss: 5.6098 | BPC: 8.093 | Speed: 3313 tok/s
Batch 700/18554 | Loss: 4.8591 | BPC: 7.010 | Speed: 3321 tok/s
Batch 800/18554 | Loss: 4.2936 | BPC: 6.194 | Speed: 3327 tok/s
Batch 900/18554 | Loss: 3.8524 | BPC: 5.558 | Speed: 3332 tok/s
Batch 1000/18554 | Loss: 3.4988 | BPC: 5.048 | Speed: 3335 tok/s
Batch 1100/18554 | Loss: 3.2096 | BPC: 4.631 | Speed: 3338 tok/s
Batch 1200/18554 | Loss: 2.9681 | BPC: 4.282 | Speed: 3341 tok/s
Batch 1300/18554 | Loss: 2.7637 | BPC: 3.987 | Speed: 3343 tok/s
Batch 1400/18554 | Loss: 2.5884 | BPC: 3.734 | Speed: 3345 tok/s
Batch 1500/18554 | Loss: 2.4362 | BPC: 3.515 | Speed: 3347 tok/s
Batch 1600/18554 | Loss: 2.3032 | BPC: 3.323 | Speed: 3348 tok/s
Batch 1700/18554 | Loss: 2.1856 | BPC: 3.153 | Speed: 3349 tok/s
Batch 1800/18554 | Loss: 2.0811 | BPC: 3.002 | Speed: 3350 tok/s
Batch 1900/18554 | Loss: 1.9877 | BPC: 2.868 | Speed: 3351 tok/s
Batch 2000/18554 | Loss: 1.9036 | BPC: 2.746 | Speed: 3352 tok/s
Batch 2100/18554 | Loss: 1.8274 | BPC: 2.636 | Speed: 3353 tok/s
Batch 2200/18554 | Loss: 1.7581 | BPC: 2.536 | Speed: 3354 tok/s
Batch 2300/18554 | Loss: 1.6949 | BPC: 2.445 | Speed: 3354 tok/s
Batch 2400/18554 | Loss: 1.6369 | BPC: 2.362 | Speed: 3355 tok/s
Batch 2500/18554 | Loss: 1.5835 | BPC: 2.284 | Speed: 3355 tok/s
Batch 2600/18554 | Loss: 1.5342 | BPC: 2.213 | Speed: 3356 tok/s
Batch 2700/18554 | Loss: 1.4886 | BPC: 2.148 | Speed: 3356 tok/s
Batch 2800/18554 | Loss: 1.4461 | BPC: 2.086 | Speed: 3357 tok/s
Batch 2900/18554 | Loss: 1.4067 | BPC: 2.029 | Speed: 3357 tok/s
Batch 3000/18554 | Loss: 1.3700 | BPC: 1.977 | Speed: 3358 tok/s
Batch 3100/18554 | Loss: 1.3356 | BPC: 1.927 | Speed: 3358 tok/s
Batch 3200/18554 | Loss: 1.3034 | BPC: 1.880 | Speed: 3358 tok/s
Batch 3300/18554 | Loss: 1.2731 | BPC: 1.837 | Speed: 3359 tok/s
Batch 3400/18554 | Loss: 1.2445 | BPC: 1.795 | Speed: 3359 tok/s
Batch 3500/18554 | Loss: 1.2176 | BPC: 1.757 | Speed: 3359 tok/s
Batch 3600/18554 | Loss: 1.1921 | BPC: 1.720 | Speed: 3360 tok/s
Batch 3700/18554 | Loss: 1.1681 | BPC: 1.685 | Speed: 3360 tok/s
Batch 3800/18554 | Loss: 1.1453 | BPC: 1.652 | Speed: 3360 tok/s
Batch 3900/18554 | Loss: 1.1237 | BPC: 1.621 | Speed: 3360 tok/s
Batch 4000/18554 | Loss: 1.1031 | BPC: 1.591 | Speed: 3361 tok/s
Batch 4100/18554 | Loss: 1.0836 | BPC: 1.563 | Speed: 3361 tok/s
Batch 4200/18554 | Loss: 1.0651 | BPC: 1.537 | Speed: 3361 tok/s
Batch 4300/18554 | Loss: 1.0474 | BPC: 1.511 | Speed: 3361 tok/s
Batch 4400/18554 | Loss: 1.0305 | BPC: 1.487 | Speed: 3361 tok/s
Batch 4500/18554 | Loss: 1.0144 | BPC: 1.463 | Speed: 3362 tok/s
Batch 4600/18554 | Loss: 0.9989 | BPC: 1.441 | Speed: 3362 tok/s
Batch 4700/18554 | Loss: 0.9841 | BPC: 1.420 | Speed: 3362 tok/s
Batch 4800/18554 | Loss: 0.9700 | BPC: 1.399 | Speed: 3362 tok/s
Batch 4900/18554 | Loss: 0.9564 | BPC: 1.380 | Speed: 3362 tok/s
Batch 5000/18554 | Loss: 0.9433 | BPC: 1.361 | Speed: 3362 tok/s
💾 Checkpoint saved: models/inn_text8_20M_step5000.pth
Batch 5100/18554 | Loss: 0.9307 | BPC: 1.343 | Speed: 3362 tok/s
Batch 5200/18554 | Loss: 0.9187 | BPC: 1.325 | Speed: 3363 tok/s
Batch 5300/18554 | Loss: 0.9070 | BPC: 1.309 | Speed: 3363 tok/s
Batch 5400/18554 | Loss: 0.8958 | BPC: 1.292 | Speed: 3363 tok/s
Batch 5500/18554 | Loss: 0.8849 | BPC: 1.277 | Speed: 3363 tok/s
Batch 5600/18554 | Loss: 0.8745 | BPC: 1.262 | Speed: 3363 tok/s
Batch 5700/18554 | Loss: 0.8645 | BPC: 1.247 | Speed: 3363 tok/s
Batch 5800/18554 | Loss: 0.8548 | BPC: 1.233 | Speed: 3363 tok/s
Batch 5900/18554 | Loss: 0.8454 | BPC: 1.220 | Speed: 3363 tok/s
Batch 6000/18554 | Loss: 0.8363 | BPC: 1.207 | Speed: 3363 tok/s
Batch 6100/18554 | Loss: 0.8275 | BPC: 1.194 | Speed: 3364 tok/s
Batch 6200/18554 | Loss: 0.8190 | BPC: 1.182 | Speed: 3364 tok/s
Batch 6300/18554 | Loss: 0.8108 | BPC: 1.170 | Speed: 3364 tok/s
Batch 6400/18554 | Loss: 0.8028 | BPC: 1.158 | Speed: 3364 tok/s
Batch 6500/18554 | Loss: 0.7951 | BPC: 1.147 | Speed: 3364 tok/s
Batch 6600/18554 | Loss: 0.7875 | BPC: 1.136 | Speed: 3364 tok/s
Batch 6700/18554 | Loss: 0.7802 | BPC: 1.126 | Speed: 3364 tok/s
Batch 6800/18554 | Loss: 0.7732 | BPC: 1.115 | Speed: 3364 tok/s
Batch 6900/18554 | Loss: 0.7664 | BPC: 1.106 | Speed: 3364 tok/s
Batch 7000/18554 | Loss: 0.7598 | BPC: 1.096 | Speed: 3364 tok/s
Batch 7100/18554 | Loss: 0.7533 | BPC: 1.087 | Speed: 3364 tok/s
Batch 7200/18554 | Loss: 0.7470 | BPC: 1.078 | Speed: 3364 tok/s
