✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 256, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 2,637,083
Starting training for 21973 steps...
Batch 100 | Loss: 228.4201 | BPC: 329.541 | Speed: 130083 tok/s
Batch 200 | Loss: 144.9661 | BPC: 209.142 | Speed: 132559 tok/s
Batch 300 | Loss: 29.2608 | BPC: 42.214 | Speed: 132437 tok/s
Batch 400 | Loss: 9.0370 | BPC: 13.038 | Speed: 132470 tok/s
Batch 500 | Loss: 3.7577 | BPC: 5.421 | Speed: 131828 tok/s
Batch 600 | Loss: 2.7779 | BPC: 4.008 | Speed: 130697 tok/s
Batch 700 | Loss: 2.5739 | BPC: 3.713 | Speed: 130475 tok/s
Batch 800 | Loss: 2.5844 | BPC: 3.728 | Speed: 130814 tok/s
Batch 900 | Loss: 2.4426 | BPC: 3.524 | Speed: 130728 tok/s
Batch 1000 | Loss: 2.4452 | BPC: 3.528 | Speed: 132542 tok/s
Batch 1100 | Loss: 2.4515 | BPC: 3.537 | Speed: 132490 tok/s
Batch 1200 | Loss: 2.4151 | BPC: 3.484 | Speed: 132576 tok/s
Batch 1300 | Loss: 2.4571 | BPC: 3.545 | Speed: 132396 tok/s
Batch 1400 | Loss: 2.3657 | BPC: 3.413 | Speed: 130593 tok/s
Batch 1500 | Loss: 2.3845 | BPC: 3.440 | Speed: 130780 tok/s
Batch 1600 | Loss: 2.3670 | BPC: 3.415 | Speed: 130902 tok/s
Batch 1700 | Loss: 2.4203 | BPC: 3.492 | Speed: 130923 tok/s
Batch 1800 | Loss: 2.3892 | BPC: 3.447 | Speed: 131572 tok/s
Batch 1900 | Loss: 2.4194 | BPC: 3.490 | Speed: 131267 tok/s
Batch 2000 | Loss: 2.4630 | BPC: 3.553 | Speed: 130875 tok/s
Batch 2100 | Loss: 2.4638 | BPC: 3.555 | Speed: 130856 tok/s
Batch 2200 | Loss: 2.4108 | BPC: 3.478 | Speed: 130403 tok/s
Batch 2300 | Loss: 2.4185 | BPC: 3.489 | Speed: 130465 tok/s
Batch 2400 | Loss: 2.3806 | BPC: 3.435 | Speed: 130910 tok/s
Batch 2500 | Loss: 2.3848 | BPC: 3.440 | Speed: 131010 tok/s
Batch 2600 | Loss: 2.3732 | BPC: 3.424 | Speed: 130428 tok/s
Batch 2700 | Loss: 2.4109 | BPC: 3.478 | Speed: 132431 tok/s
Batch 2800 | Loss: 2.3826 | BPC: 3.437 | Speed: 132576 tok/s
Batch 2900 | Loss: 2.4124 | BPC: 3.480 | Speed: 132540 tok/s
Batch 3000 | Loss: 2.4182 | BPC: 3.489 | Speed: 132266 tok/s
Batch 3100 | Loss: 2.3831 | BPC: 3.438 | Speed: 130489 tok/s
Batch 3200 | Loss: 2.3936 | BPC: 3.453 | Speed: 130401 tok/s
Batch 3300 | Loss: 2.4043 | BPC: 3.469 | Speed: 130408 tok/s
Batch 3400 | Loss: 2.3423 | BPC: 3.379 | Speed: 130346 tok/s
Batch 3500 | Loss: 2.4397 | BPC: 3.520 | Speed: 131356 tok/s
Batch 3600 | Loss: 2.3260 | BPC: 3.356 | Speed: 132262 tok/s
Batch 3700 | Loss: 2.4182 | BPC: 3.489 | Speed: 132274 tok/s
Batch 3800 | Loss: 2.3723 | BPC: 3.422 | Speed: 132527 tok/s
Batch 3900 | Loss: 2.3862 | BPC: 3.442 | Speed: 131191 tok/s
Batch 4000 | Loss: 2.4142 | BPC: 3.483 | Speed: 130657 tok/s
Batch 4100 | Loss: 2.4131 | BPC: 3.481 | Speed: 130636 tok/s
Batch 4200 | Loss: 2.3966 | BPC: 3.458 | Speed: 130850 tok/s
Batch 4300 | Loss: 2.3810 | BPC: 3.435 | Speed: 131167 tok/s
Batch 4400 | Loss: 2.3896 | BPC: 3.447 | Speed: 132549 tok/s
Batch 4500 | Loss: 2.4122 | BPC: 3.480 | Speed: 132461 tok/s
Batch 4600 | Loss: 2.3427 | BPC: 3.380 | Speed: 132351 tok/s
Batch 4700 | Loss: 2.4486 | BPC: 3.533 | Speed: 131927 tok/s
Batch 4800 | Loss: 2.3914 | BPC: 3.450 | Speed: 130949 tok/s
Batch 4900 | Loss: 2.4115 | BPC: 3.479 | Speed: 130677 tok/s
Batch 5000 | Loss: 2.3920 | BPC: 3.451 | Speed: 130801 tok/s
Batch 5100 | Loss: 2.3972 | BPC: 3.458 | Speed: 129841 tok/s
Batch 5200 | Loss: 2.3874 | BPC: 3.444 | Speed: 132174 tok/s
Batch 5300 | Loss: 2.3927 | BPC: 3.452 | Speed: 132502 tok/s
Batch 5400 | Loss: 2.3916 | BPC: 3.450 | Speed: 132573 tok/s
Batch 5500 | Loss: 2.3944 | BPC: 3.454 | Speed: 132407 tok/s
Batch 5600 | Loss: 2.3825 | BPC: 3.437 | Speed: 130875 tok/s
Batch 5700 | Loss: 2.3988 | BPC: 3.461 | Speed: 130782 tok/s
Batch 5800 | Loss: 2.3594 | BPC: 3.404 | Speed: 130717 tok/s
Batch 5900 | Loss: 2.3626 | BPC: 3.408 | Speed: 130730 tok/s
Batch 6000 | Loss: 2.4073 | BPC: 3.473 | Speed: 130518 tok/s
Batch 6100 | Loss: 2.4257 | BPC: 3.500 | Speed: 132558 tok/s
Batch 6200 | Loss: 2.3565 | BPC: 3.400 | Speed: 132528 tok/s
Batch 6300 | Loss: 2.4029 | BPC: 3.467 | Speed: 132469 tok/s
Batch 6400 | Loss: 2.4152 | BPC: 3.484 | Speed: 131421 tok/s
Batch 6500 | Loss: 2.3818 | BPC: 3.436 | Speed: 130694 tok/s
Batch 6600 | Loss: 2.3848 | BPC: 3.441 | Speed: 130746 tok/s
Batch 6700 | Loss: 2.3721 | BPC: 3.422 | Speed: 130742 tok/s
Batch 6800 | Loss: 2.3965 | BPC: 3.457 | Speed: 130737 tok/s
Batch 6900 | Loss: 2.3705 | BPC: 3.420 | Speed: 132509 tok/s
Batch 7000 | Loss: 2.4245 | BPC: 3.498 | Speed: 132552 tok/s
Batch 7100 | Loss: 2.4080 | BPC: 3.474 | Speed: 132497 tok/s
Batch 7200 | Loss: 2.3847 | BPC: 3.440 | Speed: 132261 tok/s
Batch 7300 | Loss: 2.3848 | BPC: 3.441 | Speed: 130666 tok/s
Batch 7400 | Loss: 2.3771 | BPC: 3.429 | Speed: 130555 tok/s
Batch 7500 | Loss: 2.3958 | BPC: 3.456 | Speed: 130560 tok/s
Batch 7600 | Loss: 2.3618 | BPC: 3.407 | Speed: 130756 tok/s
Batch 7700 | Loss: 2.4135 | BPC: 3.482 | Speed: 131895 tok/s
Batch 7800 | Loss: 2.3676 | BPC: 3.416 | Speed: 132519 tok/s
Batch 7900 | Loss: 2.3929 | BPC: 3.452 | Speed: 132498 tok/s
Batch 8000 | Loss: 2.4504 | BPC: 3.535 | Speed: 132477 tok/s
Batch 8100 | Loss: 2.3936 | BPC: 3.453 | Speed: 131184 tok/s
Batch 8200 | Loss: 2.3585 | BPC: 3.403 | Speed: 130700 tok/s
Batch 8300 | Loss: 2.3668 | BPC: 3.415 | Speed: 130679 tok/s
Batch 8400 | Loss: 2.3707 | BPC: 3.420 | Speed: 130695 tok/s
Batch 8500 | Loss: 2.3990 | BPC: 3.461 | Speed: 131049 tok/s
Batch 8600 | Loss: 2.4093 | BPC: 3.476 | Speed: 132453 tok/s
Batch 8700 | Loss: 2.3799 | BPC: 3.433 | Speed: 132453 tok/s
Batch 8800 | Loss: 2.3875 | BPC: 3.444 | Speed: 132539 tok/s
Batch 8900 | Loss: 2.3514 | BPC: 3.392 | Speed: 131892 tok/s
Batch 9000 | Loss: 2.4306 | BPC: 3.507 | Speed: 130751 tok/s
Batch 9100 | Loss: 2.4084 | BPC: 3.475 | Speed: 130713 tok/s
Batch 9200 | Loss: 2.3880 | BPC: 3.445 | Speed: 130764 tok/s
Batch 9300 | Loss: 2.4072 | BPC: 3.473 | Speed: 130721 tok/s
Batch 9400 | Loss: 2.3899 | BPC: 3.448 | Speed: 131813 tok/s
Batch 9500 | Loss: 2.3954 | BPC: 3.456 | Speed: 130626 tok/s
Batch 9600 | Loss: 2.3735 | BPC: 3.424 | Speed: 130704 tok/s
Batch 9700 | Loss: 2.4076 | BPC: 3.473 | Speed: 130660 tok/s
Batch 9800 | Loss: 2.4194 | BPC: 3.490 | Speed: 130065 tok/s
Batch 9900 | Loss: 2.4297 | BPC: 3.505 | Speed: 130621 tok/s
Batch 10000 | Loss: 2.3915 | BPC: 3.450 | Speed: 130774 tok/s
Batch 10100 | Loss: 2.4268 | BPC: 3.501 | Speed: 129987 tok/s
Batch 10200 | Loss: 2.3915 | BPC: 3.450 | Speed: 131575 tok/s
Batch 10300 | Loss: 2.4000 | BPC: 3.463 | Speed: 132535 tok/s
Batch 10400 | Loss: 2.3781 | BPC: 3.431 | Speed: 132503 tok/s
Batch 10500 | Loss: 2.4043 | BPC: 3.469 | Speed: 132481 tok/s
Batch 10600 | Loss: 2.3729 | BPC: 3.423 | Speed: 131565 tok/s
Batch 10700 | Loss: 2.4081 | BPC: 3.474 | Speed: 130873 tok/s
